Target City,Total Weight (Tons)
CHALIGNY,285.0
CHALONS,768.0
CHAMBERY,180.0
CHAMBLY,621.0
CHAMBORIGAUD,70.0
CHAMPAGNE LES MESDI,82.0
CHAPELINE NOTRE DAME,487.0
CHAPERY,117.0
CHARLEVILLE,116.0
CHARLY SUR MARNE,120.0
CHARNY,75.0
CHARTRES,4046.0
CHATEAU BERNAPE,724.0
CHATEAU DE BOSMELLET,52.0
CHATEAU DU LOIR,128.0
CHATEAU THIERRY,54.0
CHATEAUBRIANT,291.0
CHATEAUDUN,5203.0
CHATEAUROUX,623.0
CHATEL,23.0
CHATELLERAULT,465.0
CHAULNES,84.0
CHAUMONT,819.0
CHAUNY,200.0
CHEMSAY,14.0
CHERBOURG,1957.0
CHERISY,414.0
CHOCQUES,66.0
CINQ MARS LAPILE,550.0
CITY TOT UNDER 6 TON,877.0
CLAMECY,87.0
CLASTRES,789.0
CLERES,112.0
CLERMONT,1497.0
CLOYES,362.0
COCOVE,567.0
COGNAC,2883.0
COLMAR,0.0
COLTAINVILLE,116.0
COMBOURG,48.0
COMINES,42.0
COMPIEGNE,489.0
COMTANCES,321.0
COMTESSE,96.0
CONCHES,3835.0
CONDE,21.0
CONDE SUR NOIREAU,1559.0
CONDE SUR VIRE,115.0
CONDRIEU DU NORDE,70.0
CONFLANS,480.0
CONNANTRE,433.0
CONNERRE,118.0
CONTEVILLE,177.0
COQUEREAUX,971.0
CORBEIL,114.0
CORBIE,144.0
CORME ECLUSE,684.0
CORMEILLES,913.0
CORMETTE,714.0
CORNETS,24.0
COUBRONNE,500.0
COUCHES LES MINES,303.0
COULANGES,253.0
COULOMMIERS,405.0
COULONVILLIERS,137.0
COURCELLES SUR NIED,380.0
COURCELLES SUR SEIN,74.0
COURONNE,822.0
COURS SAINTS,84.0
COURSELLES,426.0
COURTALAIN,165.0
COURTOIN,22.0
COUTANCES,683.0
COUTANT,90.0
COUVRON,648.0
CRECY,18.0
CREIL,4455.0
CREPIEUL,843.0
CREPY,1059.0
CREST,83.0
CRETON,36.0
CRIQUETOT,23.0
CRISBECQ,484.0
CROISETTE,664.0
CROISILLES,96.0
CROIXDALLE,376.0
CULMONT CHALINDREY,724.0
CULOZ,48.0
CUSTINES,262.0
CUXHAVEN,1.0
DAINVILLE,12.0
DAMMARTIN ENGOELE,78.0
DANNES,710.0
DDNZERE,70.0
DE TOURNEHEIM,192.0
DEMOUVILLE,1479.0
DENAIN,746.0
DESVRES,51.0
DIEFFLEN,2.0
DIEPPE,2362.0
DIEUZE,306.0
DIJON,3725.0
DINAN,96.0
DOLE,456.0
DOMART EN PONTHIEU,302.0
DOMFRONT,561.0
DOMLEGER,3720.0
DONGES,1065.0
DOUAI,1769.0
DOULLENS,1120.0
DOVAL,36.0
DREAUX,421.0
DREUX,1374.0
DRIONVILLE,534.0
DROMMONT,72.0
DUNKERQUE,2555.0
DURTAL,144.0
ECALLES SUR BUCHY,390.0
ECLIMEUX,983.0
ECOUCHE,124.0
ECQUES,561.0
EIKENHORST,189.0
ELBEUF,68.0
EMBRUN,112.0
EMBRY,322.0
ENGUINEGATTE,330.0
EPERLECQUES,92.0
EPERNON,502.0
EPINAL,257.0
EPONE MEZIERS,436.0
EPREVILLE,342.0
EQUIHEN,1545.0
ERNY ST JULIEN,302.0
ESCALLES,150.0
ESSEY,591.0
ESTERNAY,154.0
ET NEUVE,152.0
ETAMPES,2913.0
ETAPLES,2378.0
EU,33.0
EURE RIVER,45.0
EVREUX,4598.0
EVRON,16.0
FALAISE,2218.0
FASSEY,63.0
FEBVIN PALFART,207.0
FECAMP,1833.0
FERFAY,434.0
FERME D UREILIE,1055.0
FERME DU FORESTEL,510.0
FERME DU GRAND BOIS,229.0
FIEFS,1362.0
FIENVILLERS,409.0
FILERS,427.0
FISMES,349.0
FLERS,2711.0
FLEURY,1200.0
FLEURY LA MONTAGNE,501.0
FLIXECOURT,149.0
FLOTTEMANVILLE,471.0
FLOTTEMANVILLE HAGUE,420.0
FOET DU HELLE,8.0
FOLLEVILLE,0.0
FOLLIGNY,134.0
FONTAINE BELLENGER,23.0
FONTAINE LE PIN,78.0
FONTAN,44.0
FOR NATION DE TOUR,180.0
FORET D ANDAINE,1783.0
FORET D AROUES,144.0
FORET D ECOUVES,1251.0
FORET D ENGLOS,751.0
FORET D EPERLECQUES,78.0
FORET D HALOUSE,76.0
FORET DE BIARDS,184.0
FORET DE CATTENOM,134.0
FORET DE CCNCHES,256.0
FORET DE CHANTILLY,949.0
FORET DE CHATELLERAU,970.0
FORET DE CINGLAIS,273.0
FORET DE CONCHES,1083.0
FORET DE CRECY,142.0
FORET DE DREUX,40.0
FORET DE GRIMOBQ,16.0
FORET DE HAYE,1003.0
FORET DE L ISLE,24.0
FORET DE L ISLE ADA,144.0
FORET DE L ISLE ADAM,770.0
FORET DE LA GUERCHE,586.0
FORET DE LA LONDE,236.0
FORET DE LUCHEUX,515.0
FORET DE MONTRICHARD,406.0
FORET DE MORMAL,873.0
FORET DE NIEPPE,3401.0
FORET DE PARROY,64.0
FORET DE PERSEIGNE,147.0
FORET DE RAISMES,77.0
FORET DE ROUMARE,266.0
FORET DE SAMOUSSY,72.0
FORET DE SENOCHES,1020.0
FORET DE SILLE,76.0
FORET DE ST SAENS,171.0
FORET DEANY,439.0
FORET DU CORBEAU,141.0
FORET DU CROC,1007.0
FORETDENIEPPE HAZEBR,1179.0
FORGES,60.0
FORT MARDICK,528.0
FORT PHILIPPE,152.0
FORTMONT DE COUPLE,671.0
FOUGERES,477.0
FOUILLARD,416.0
FOULBEC,112.0
FOURNIVAL,693.0
FRANZELLE,15.0
FREJUS,1188.0
FRENOUVILLE,1191.0
FRESNOY,123.0
FREVAL,173.0
FREVENT,334.0
FROHEN,84.0
FROMENTEL,212.0
FRUGES BOIS DE COUP,159.0
GAEL,318.0
GALLARD,145.0
GAMACHES,30.0
GAPENNES,119.0
GASSICOURT,242.0
GATTEVILLE,122.0
GENNEVILLIERS,1154.0
GIEN,273.0
GIRONDE RIVER,62.0
GIVERVILLE,88.0
GIVET,5.0
GIVORS,1478.0
GLACIERE LA,1146.0
GLENNES,22.0
GONDRECOURT,16.0
GORENFLOS,1303.0
GOSNAY,28.0
GOURNAY,216.0
GRAND QUEVILLY,9.0
GRANVILLE,652.0
GRAVELINES,1322.0
GRENOBLE,239.0
GRIMONE,720.0
GRIS NEZ,19.0
GRISBECQ,597.0
GROSLEY,170.0
GUESCHART,600.0
GUINES,8.0
GUYANCOURT,519.0
GUYENCOURT,336.0
HAGENAU,1080.0
HAM,175.0
HANTAY,63.0
HARDELOT,1683.0
HARKINGKELLES,252.0
HARNES,90.0
HAUT MAISNIL,395.0
HAUTECOTE,207.0
HAZEBROUCK,793.0
HEBECREVON,1713.0
HELICOURT,64.0
HENINLITTARD,176.0
HERBOUVILLE,179.0
HERMANVILLE,303.0
HESDIN,855.0
HEUDEIRE,288.0
HEURINGHEM,603.0
HIRSON,896.0
HOLQUE,60.0
HONFLEUR,6.0
HOUDAN,28.0
HOULGATE,879.0
HOUPPEVILLE,168.0
HULL LOUPOLN,11.0
HUMIERES,273.0
I DE PONQUEROLLES,141.0
ILE DE CEZEMBRE,1125.0
ILE DU LEVANT,162.0
ILE RATENNEAU,1029.0
ILLIERS,807.0
ISIGNY,66.0
ISTRES,1173.0
JAFFE,560.0
JARD RIVER,72.0
JOIGNY,1324.0
JUKSEY,280.0
JUNAINCOURT,46.0
